start,end,word,alignment_score,probability,speaker
6.22,7.023,Buenas,0.7620,0.9961,SPEAKER_05
7.083,7.365,"tardes,",0.8490,0.9999,SPEAKER_05
12.063,12.103,la,0.8260,0.9901,SPEAKER_05
12.144,12.625,bienvenida,0.7750,0.9999,SPEAKER_05
12.646,12.666,a,0.9760,0.9998,SPEAKER_05
13.228,13.609,este,0.9840,0.9998,SPEAKER_05
13.89,14.392,"seminario,",0.9480,0.9998,SPEAKER_05
15.015,15.055,se,0.0020,0.9994,SPEAKER_05
15.075,15.156,la,0.5240,0.8090,SPEAKER_05
15.296,15.356,doy,0.0000,0.9997,SPEAKER_05
15.376,15.457,al,0.4480,0.8896,SPEAKER_05
15.477,15.597,nombre,0.0400,0.9999,SPEAKER_05
15.617,15.678,del,0.6560,0.7043,SPEAKER_05
15.738,15.919,Centro,0.1820,0.9815,SPEAKER_05
15.939,15.979,de,0.2550,0.9842,SPEAKER_05
16.019,16.3,Estudios,0.2180,0.9984,SPEAKER_05
16.28,16.903,"Públicos,",0.7320,0.9967,SPEAKER_05
18.009,18.411,seminario,0.9410,0.7678,SPEAKER_05
18.512,18.753,sobre,0.9790,1.0000,SPEAKER_05
19.135,19.276,la,0.9800,1.0000,SPEAKER_05
19.477,19.839,doctrina,0.7760,0.9932,SPEAKER_05
19.899,20.2,social,0.9040,1.0000,SPEAKER_05
20.241,20.321,de,0.5210,1.0000,SPEAKER_05
20.361,20.401,la,0.9190,1.0000,SPEAKER_05
20.482,20.864,"iglesia,",0.7960,0.7093,SPEAKER_05
20.904,22.171,la,0.4790,0.9999,SPEAKER_05
22.271,22.593,ética,0.9960,0.9998,SPEAKER_05
22.613,22.633,y,0.9910,0.9998,SPEAKER_05
22.673,23.256,el,0.8790,1.0000,SPEAKER_05
23.317,23.558,sistema,0.8140,0.9997,SPEAKER_05
23.598,23.98,económico.,0.5480,0.9999,SPEAKER_05
24.64,25.605,En,0.7370,0.9662,SPEAKER_05
25.645,25.685,la,0.9960,0.9999,SPEAKER_05
25.726,25.947,sesión,0.9880,0.9999,SPEAKER_05
25.987,26.047,de,0.6560,0.9999,SPEAKER_05
26.148,26.288,hoy,0.8000,1.0000,SPEAKER_05
26.308,27.454,tendremos,0.6800,0.9759,SPEAKER_05
27.474,27.535,dos,0.3310,0.8744,SPEAKER_05
27.917,28.5,exposiciones,0.8360,0.9998,SPEAKER_05
28.54,28.58,de,0.5000,0.9994,SPEAKER_05
28.6,29.063,30,0.7260,0.9914,SPEAKER_05
29.143,29.485,"minutos,",0.9400,1.0000,SPEAKER_05
29.545,30.972,después,0.7420,0.9996,SPEAKER_05
31.012,31.997,preguntas,0.8240,0.9995,SPEAKER_05
32.038,32.058,y,0.9310,0.9999,SPEAKER_05
32.259,32.52,comentarios,0.1730,0.9998,SPEAKER_05
32.5,32.58,por,0.3100,0.9716,SPEAKER_05
33.848,33.888,un,0.9640,0.9997,SPEAKER_05
33.928,34.25,espacio,0.9720,1.0000,SPEAKER_05
34.291,34.612,total,0.6600,0.9994,SPEAKER_05
34.653,34.693,de,0.9660,0.9999,SPEAKER_05
34.713,35.015,30,0.6710,0.9998,SPEAKER_05
35.115,35.457,minutos,0.8690,1.0000,SPEAKER_05
35.478,35.498,y,0.9930,0.4456,SPEAKER_05
35.518,36.162,al,0.8730,0.9996,SPEAKER_05
36.202,36.463,final,0.9400,1.0000,SPEAKER_05
36.564,36.966,cerrarán,0.9340,0.9998,SPEAKER_05
37.65,37.711,las,0.8080,0.9854,SPEAKER_05
37.791,38.093,ideas,0.9210,0.9986,SPEAKER_05
38.133,38.576,los,0.8640,0.9717,SPEAKER_05
38.616,38.717,dos,0.9430,0.9982,SPEAKER_05
38.737,39.24,expositores,0.6650,0.9998,SPEAKER_05
39.26,39.32,con,0.3330,0.9981,SPEAKER_05
39.3,39.342,10,0.1430,0.9963,SPEAKER_05
39.362,39.508,minutos,0.0590,1.0000,SPEAKER_05
39.529,39.612,cada,0.0880,0.9996,SPEAKER_05
39.633,40.361,uno.,0.2480,0.9999,SPEAKER_05
42.14,42.823,Primero,0.8980,0.9952,SPEAKER_05
42.904,43.205,expone,0.8010,0.9971,SPEAKER_05
43.466,43.567,don,0.8640,0.8633,SPEAKER_05
43.587,43.848,Gabriel,0.5170,0.9990,SPEAKER_05
43.889,44.331,"Zanotti,",0.8420,0.9841,SPEAKER_05
46.582,47.124,licenciado,0.8380,0.9991,SPEAKER_05
47.165,47.265,en,0.6250,0.9999,SPEAKER_05
47.305,47.908,filosofía,0.9690,0.9814,SPEAKER_05
47.948,47.989,en,0.5000,0.4150,SPEAKER_05
49.074,49.114,la,0.9930,0.9894,SPEAKER_05
49.174,49.677,Universidad,0.8770,0.9963,SPEAKER_05
49.717,50.22,del,0.5110,0.9986,SPEAKER_05
50.24,50.34,Norte,0.2000,0.9999,SPEAKER_05
50.32,50.361,de,0.1080,0.6333,SPEAKER_05
50.382,50.486,Santo,0.0700,0.7836,SPEAKER_05
50.506,50.61,Tomás,0.0870,0.9996,SPEAKER_05
50.631,50.672,de,0.0740,0.9986,SPEAKER_05
50.693,50.983,"Aquino,",0.1860,0.9076,SPEAKER_05
51.004,51.501,Argentina.,0.5140,0.9973,SPEAKER_05
52.78,53.326,Profesor,0.8050,0.7215,SPEAKER_05
53.346,53.366,e,0.9920,0.9932,SPEAKER_05
53.387,54.135,investigador,0.7770,0.9897,SPEAKER_05
54.196,54.256,de,0.3140,0.9974,SPEAKER_05
54.297,54.337,la,0.9980,0.9996,SPEAKER_05
54.378,54.6,Escuela,0.8080,0.9951,SPEAKER_05
54.62,54.984,Superior,0.8250,0.9993,SPEAKER_05
55.025,55.065,de,0.9940,0.9995,SPEAKER_05
55.085,55.429,Economía,0.7460,0.9998,SPEAKER_05
55.449,55.47,y,0.1560,0.7810,SPEAKER_05
55.49,55.894,Administración,0.5940,0.9989,SPEAKER_05
55.935,55.975,de,0.6720,0.9998,SPEAKER_05
55.996,56.42,Empresa.,0.8220,0.8638,SPEAKER_05
57.7,58.224,Autor,0.9440,0.9989,SPEAKER_05
58.264,58.305,de,0.5020,0.9991,SPEAKER_05
58.345,58.567,libros,0.7170,0.9991,SPEAKER_05
58.587,58.607,y,0.0100,0.9997,SPEAKER_05
58.647,59.172,ensayos,0.7990,0.9977,SPEAKER_05
59.958,60.139,entre,0.7430,0.2885,SPEAKER_05
60.179,60.26,los,0.6510,1.0000,SPEAKER_05
60.28,60.341,que,0.9590,0.9999,SPEAKER_05
60.401,60.724,destacan,0.8660,0.9997,SPEAKER_05
60.764,61.268,economía,0.7780,0.5519,SPEAKER_05
61.288,61.328,de,0.7680,0.5540,SPEAKER_05
61.369,61.792,mercado,0.8380,0.9997,SPEAKER_05
61.812,61.832,y,0.9510,0.9972,SPEAKER_05
61.873,62.518,doctrina,0.7330,0.9976,SPEAKER_05
62.578,62.699,social,0.1220,0.9997,SPEAKER_05
62.719,62.76,de,0.0010,0.9993,SPEAKER_05
62.78,62.82,la,0.4860,0.9998,SPEAKER_05
62.8,63.343,iglesia.,0.6850,0.8208,SPEAKER_05
64.37,64.913,Introducción,0.8820,0.9995,SPEAKER_05
64.933,64.954,a,0.9890,0.9999,SPEAKER_05
65.034,65.094,la,0.6740,0.9993,SPEAKER_05
65.135,65.356,escuela,0.7620,0.1196,SPEAKER_05
65.557,66.04,austríaca,0.5880,0.9924,SPEAKER_05
66.081,66.141,de,0.7240,0.9997,SPEAKER_05
66.161,66.644,economía.,0.8690,0.9952,SPEAKER_05
68.194,68.516,Introducción,0.8470,0.9226,SPEAKER_05
68.556,68.596,a,0.4700,0.9999,SPEAKER_05
68.616,68.677,la,0.7050,1.0000,SPEAKER_05
68.697,68.878,escuela,0.7330,0.9993,SPEAKER_05
68.959,69.14,austríaca,0.0000,0.9997,SPEAKER_05
69.16,69.2,de,0.5000,0.9999,SPEAKER_05
69.18,73.12,economía.,0.4980,0.9999,SPEAKER_05
73.14,73.201,El,0.9870,0.9953,SPEAKER_05
73.281,73.402,tema,0.7820,0.9986,SPEAKER_05
73.482,73.542,que,0.9390,0.9995,SPEAKER_05
73.603,73.864,expondrá,0.5840,0.9845,SPEAKER_05
73.884,73.944,don,0.4030,0.6861,SPEAKER_05
73.985,74.186,Gabriel,0.1470,0.9756,SPEAKER_05
74.206,74.588,Zanotti,0.7710,0.9487,SPEAKER_05
