start,end,word,alignment_score,probability,speaker
4.26,4.783,La,0.7290,0.3194,SPEAKER_06
4.904,5.427,utilización,0.7140,0.8657,SPEAKER_06
5.467,5.548,del,0.8050,0.8040,SPEAKER_06
5.628,5.91,capital,0.9630,0.9885,SPEAKER_06
5.93,5.97,se,0.4940,0.9833,SPEAKER_06
6.01,6.332,tiende,0.7120,0.9879,SPEAKER_06
6.373,6.413,a,0.5360,0.9982,SPEAKER_06
6.453,6.815,frenar,0.7320,0.9989,SPEAKER_06
7.459,7.56,y,0.9580,0.4864,SPEAKER_06
7.66,9.612,"eso,",0.9480,0.9681,SPEAKER_06
9.632,9.733,por,0.3790,0.9639,SPEAKER_06
9.753,9.894,las,0.6690,0.9194,SPEAKER_06
9.974,10.376,estimaciones,0.4570,0.9970,SPEAKER_06
10.618,10.678,de,0.7500,0.9261,SPEAKER_06
10.698,10.799,las,0.4570,0.6387,SPEAKER_06
10.819,11.0,funciones,0.1110,0.9935,SPEAKER_06
10.98,11.485,de,0.1450,0.9895,SPEAKER_06
11.505,11.707,producción,0.0200,0.9827,SPEAKER_06
11.727,11.888,de,0.5380,0.9904,SPEAKER_06
11.909,11.989,cada,0.0360,0.9943,SPEAKER_06
12.01,12.272,"sector,",0.5910,0.9955,SPEAKER_06
12.575,12.736,es,0.5520,0.9930,SPEAKER_06
12.797,13.382,bastante,0.9250,0.9948,SPEAKER_06
13.402,14.493,excesgado,0.7310,0.9265,SPEAKER_06
14.533,14.593,en,0.4820,0.9899,SPEAKER_06
14.735,14.977,contra,0.9100,0.9764,SPEAKER_06
15.017,15.139,del,0.6850,0.9954,SPEAKER_06
15.159,15.32,trabajo.,0.1250,0.9991,SPEAKER_06
15.74,16.525,O,0.8540,0.5544,SPEAKER_06
16.545,16.707,"sea,",0.3560,0.9825,SPEAKER_06
16.727,16.767,el,0.4190,0.9951,SPEAKER_06
16.847,17.19,trabajo,0.9600,0.9897,SPEAKER_06
17.29,18.78,"tiende,",0.8150,0.9934,SPEAKER_06
18.801,18.841,el,0.0140,0.9086,SPEAKER_06
18.861,19.284,payment,0.4910,0.7888,SPEAKER_06
19.364,19.546,del,0.4740,0.9846,SPEAKER_06
19.606,19.848,trabajo,0.4500,0.9995,SPEAKER_06
19.868,20.109,tiende,0.5420,0.9453,SPEAKER_06
20.331,20.351,a,0.0010,0.9997,SPEAKER_06
20.371,20.492,sufrir,0.0870,0.9949,SPEAKER_06
20.512,21.016,bastante,0.8680,0.9994,SPEAKER_06
21.036,21.177,en,0.6200,0.9575,SPEAKER_06
21.217,21.257,la,0.7820,0.9934,SPEAKER_06
21.338,21.7,recesión.,0.4460,0.7350,SPEAKER_06
22.14,22.786,"Entonces,",0.3270,0.9720,SPEAKER_06
22.806,22.846,de,0.9140,0.9929,SPEAKER_06
22.887,23.089,alguna,0.8260,1.0000,SPEAKER_06
23.149,23.331,"forma,",0.7380,0.9989,SPEAKER_06
23.371,23.674,este,0.4170,0.2425,SPEAKER_06
23.694,23.876,lucha,0.5020,0.7931,SPEAKER_06
23.896,23.977,de,0.8470,0.9966,SPEAKER_06
24.017,24.179,"que,",0.7950,0.9973,SPEAKER_06
25.369,25.45,por,0.9020,0.9997,SPEAKER_06
25.491,25.753,"ejemplo,",0.7040,0.9997,SPEAKER_06
25.773,25.874,ahora,0.1010,0.9965,SPEAKER_06
25.914,25.955,se,0.3360,0.9986,SPEAKER_06
25.975,26.136,está,0.4710,0.9993,SPEAKER_06
26.157,26.54,"discutiendo,",0.2870,0.7534,SPEAKER_06
26.52,26.701,o,0.3470,0.2452,SPEAKER_06
26.842,27.064,"sea,",0.2720,0.9857,SPEAKER_06
27.104,27.144,la,0.9040,0.6916,SPEAKER_06
27.184,27.486,economía,0.9070,0.9998,SPEAKER_06
27.506,27.929,chilena,0.4400,0.9978,SPEAKER_06
27.949,28.231,ofrece,0.3400,0.6710,SPEAKER_06
28.251,28.271,a,0.0050,0.8670,SPEAKER_06
28.292,28.332,lo,0.0060,0.9968,SPEAKER_06
28.352,28.513,mejor,0.5670,0.9999,SPEAKER_06
28.573,28.614,un,0.6600,0.9880,SPEAKER_06
28.634,28.855,"4,",0.7440,0.9017,SPEAKER_06
28.896,31.05,está,0.5010,0.5082,SPEAKER_06
31.07,31.513,bastante,0.4360,0.9997,SPEAKER_06
31.533,31.936,preocupado,0.4430,0.8742,SPEAKER_06
32.278,32.338,por,0.1480,0.9996,SPEAKER_06
32.358,32.519,las,0.2470,0.9135,SPEAKER_06
32.539,32.64,tasas,0.2040,0.9932,SPEAKER_06
32.62,32.68,de,0.2050,0.9997,SPEAKER_06
32.701,33.265,crecimiento,0.5540,0.9995,SPEAKER_06
33.306,33.386,que,0.5350,0.9998,SPEAKER_06
33.406,33.628,está,0.6750,0.9994,SPEAKER_06
34.031,34.415,tomando.,0.8970,0.9999,SPEAKER_06
35.1,35.261,Eso,0.6800,0.9901,SPEAKER_06
35.302,35.624,podría,0.8520,0.9997,SPEAKER_06
35.665,36.169,generar,0.5900,0.9997,SPEAKER_06
36.31,36.592,problemas,0.7840,0.9980,SPEAKER_06
36.632,36.693,de,0.8480,0.9986,SPEAKER_06
36.753,37.076,balance,0.9050,0.6813,SPEAKER_06
37.096,37.137,de,0.0030,0.3797,SPEAKER_06
37.157,37.439,pago,0.9400,0.9322,SPEAKER_06
37.459,37.5,en,0.0000,0.9999,SPEAKER_06
37.52,37.58,uno,0.3270,0.8876,SPEAKER_06
37.56,38.307,o,0.6550,0.9977,SPEAKER_06
38.327,38.509,dos,0.6240,0.9989,SPEAKER_06
38.651,38.873,años.,0.7510,0.9989,SPEAKER_06
39.862,39.903,Y,0.8780,0.9978,SPEAKER_06
39.923,40.004,por,0.9980,0.9698,SPEAKER_06
40.044,40.085,lo,0.9940,0.9985,SPEAKER_06
40.125,40.266,"tanto,",0.8930,1.0000,SPEAKER_06
40.307,40.367,la,0.6470,0.9859,SPEAKER_06
40.408,40.569,gente,0.3690,0.9987,SPEAKER_06
40.59,40.65,del,0.1290,0.9207,SPEAKER_06
40.67,40.812,fondo,0.5360,0.9425,SPEAKER_06
40.832,40.933,está,0.3160,0.9953,SPEAKER_06
40.953,41.195,diciendo,0.2470,0.9989,SPEAKER_06
41.236,41.296,que,0.3050,0.7273,SPEAKER_06
41.317,41.418,esta,0.5860,0.4535,SPEAKER_06
41.438,41.519,cosa,0.0000,0.9997,SPEAKER_06
41.539,41.599,hay,0.0000,0.9992,SPEAKER_06
41.62,41.68,que,0.3330,1.0000,SPEAKER_06
41.66,42.264,enfriarla.,0.5240,0.8861,SPEAKER_06
43.05,43.151,Una,0.9320,0.9983,SPEAKER_06
43.171,43.211,de,0.0490,0.9999,SPEAKER_06
43.232,43.292,las,0.6520,1.0000,SPEAKER_06
43.332,43.594,medidas,0.7710,0.9999,SPEAKER_06
43.695,43.776,que,0.8880,0.9984,SPEAKER_06
43.937,44.118,usted,0.3090,0.6091,SPEAKER_06
44.138,44.279,ve,0.8060,0.9993,SPEAKER_06
44.501,44.541,es,0.0300,0.9987,SPEAKER_06
44.561,45.166,precisamente,0.7470,0.9953,SPEAKER_06
45.186,45.247,una,0.3260,0.9994,SPEAKER_06
45.488,45.932,devaluación,0.7300,0.8848,SPEAKER_06
46.697,46.919,que,0.7390,0.7047,SPEAKER_06
46.939,47.08,tendría,0.1430,0.9918,SPEAKER_06
47.06,47.423,a,0.6300,0.7748,SPEAKER_06
47.463,47.765,generar,0.7930,0.9999,SPEAKER_06
47.886,48.289,inflación,0.7810,0.9705,SPEAKER_06
48.309,48.329,y,0.9910,0.6962,SPEAKER_06
48.813,49.034,"eso,",0.8820,0.9982,SPEAKER_06
50.223,50.424,bien,0.7840,0.9337,SPEAKER_06
50.445,50.525,de,0.8790,0.8807,SPEAKER_06
50.626,50.988,"excepción,",0.3060,0.8923,SPEAKER_06
51.009,51.069,no,0.7590,0.9990,SPEAKER_06
51.129,51.452,alcanza,0.8540,0.9999,SPEAKER_06
51.472,51.492,a,0.9480,0.9999,SPEAKER_06
51.553,52.096,recuperarse,0.7440,0.9999,SPEAKER_06
52.157,52.439,"rápido,",0.4910,0.9882,SPEAKER_06
52.459,52.54,bien,0.0010,0.4335,SPEAKER_06
52.56,52.6,de,0.5000,0.9999,SPEAKER_06
52.58,52.843,excepción.,0.0680,0.9982,SPEAKER_06
52.863,52.883,O,0.2330,0.2898,SPEAKER_06
52.944,53.813,"sea,",0.4800,0.9822,SPEAKER_06
53.833,53.893,acá,0.2890,0.9780,SPEAKER_06
54.378,54.58,cae,0.7570,0.5947,SPEAKER_06
