start,end,word,alignment_score,probability,speaker
0.0,0.244,El,0.8240,0.9779,SPEAKER_02
0.305,0.508,primer,0.8040,0.9999,SPEAKER_02
0.568,1.035,mandatario,0.9560,0.9998,SPEAKER_02
1.137,1.259,fue,0.8720,0.9995,SPEAKER_02
1.36,1.624,claro,0.9030,0.9995,SPEAKER_02
1.705,1.868,ante,0.9380,0.9999,SPEAKER_02
1.949,2.03,las,0.8600,0.9997,SPEAKER_02
2.132,2.538,Naciones,0.8390,0.9995,SPEAKER_02
2.558,2.7,Unidas,0.1600,1.0000,SPEAKER_02
2.68,3.411,para,0.8070,0.9908,SPEAKER_02
3.492,4.04,denunciar,0.9630,1.0000,SPEAKER_02
4.183,4.244,la,0.9400,0.9999,SPEAKER_02
4.325,4.934,intervención,0.8960,0.9997,SPEAKER_02
4.995,5.36,extranjera.,0.4460,0.9999,SPEAKER_02
7.28,8.297,Allende,0.8110,0.9895,SPEAKER_00
8.318,8.401,dijo,0.2500,0.9999,SPEAKER_00
9.4,9.461,La,0.1130,0.1531,SPEAKER_00
9.521,9.947,"ITT,",0.3560,0.9835,SPEAKER_00
10.453,12.154,gigantesca,0.5990,0.9892,SPEAKER_00
12.174,12.7,"corporación,",0.4850,0.9997,SPEAKER_00
12.76,13.871,inició,0.8760,0.9989,SPEAKER_00
13.891,14.194,desde,0.7260,1.0000,SPEAKER_00
14.214,14.315,el,0.5860,1.0000,SPEAKER_00
14.396,14.8,momento,0.8890,1.0000,SPEAKER_00
14.922,15.184,mismo,0.9730,0.9999,SPEAKER_00
15.204,15.305,en,0.5800,1.0000,SPEAKER_00
15.406,15.487,que,0.9070,1.0000,SPEAKER_00
15.528,15.608,se,0.9260,1.0000,SPEAKER_00
15.669,16.053,conoció,0.8560,0.9999,SPEAKER_00
16.113,16.174,el,0.9700,0.9998,SPEAKER_00
16.255,16.639,triunfo,0.8630,0.9980,SPEAKER_00
16.659,16.8,popular,0.1790,1.0000,SPEAKER_00
16.78,17.163,una,0.2230,0.9817,SPEAKER_00
18.049,18.694,siniestra,0.9380,0.9995,SPEAKER_00
18.734,19.178,acción,0.9510,1.0000,SPEAKER_00
19.198,19.238,en,0.5000,0.9866,SPEAKER_00
19.964,20.447,colusión,0.9270,0.9980,SPEAKER_00
20.508,20.689,con,0.8210,1.0000,SPEAKER_00
20.729,21.132,fuerzas,0.7460,0.9999,SPEAKER_00
21.233,21.676,fascistas,0.8830,0.9995,SPEAKER_00
21.797,22.2,internas,0.3110,0.9999,SPEAKER_00
22.18,22.929,para,0.4980,0.9999,SPEAKER_00
23.071,23.597,impedir,0.9420,1.0000,SPEAKER_00
23.698,23.779,que,0.9110,1.0000,SPEAKER_00
23.84,23.961,yo,0.9780,0.9996,SPEAKER_00
24.042,24.386,ocupara,0.9840,1.0000,SPEAKER_00
24.467,24.528,la,0.8060,1.0000,SPEAKER_00
24.589,24.872,primera,0.9760,0.9938,SPEAKER_00
24.953,25.56,magistratura.,0.7670,0.9998,SPEAKER_00
25.96,26.947,Señores,0.7690,0.9796,SPEAKER_00
26.968,27.441,"delegados,",0.6340,0.9856,SPEAKER_00
27.42,28.106,yo,0.6560,0.3541,SPEAKER_00
28.51,28.893,acuso,0.9620,0.9975,SPEAKER_00
28.913,29.256,ante,0.8480,0.9978,SPEAKER_00
29.317,29.357,la,0.9930,0.9999,SPEAKER_00
29.458,30.184,conciencia,0.8650,0.9996,SPEAKER_00
30.245,30.366,del,0.8180,0.9999,SPEAKER_00
