start,end,word,alignment_score,probability,speaker
0.76,1.605,Me,0.5970,0.9984,SPEAKER_05
1.686,1.867,toca,0.9790,0.9999,SPEAKER_05
1.947,2.431,presentar,0.8860,1.0000,SPEAKER_05
2.451,2.491,al,0.4780,0.9978,SPEAKER_05
2.612,3.014,profesor,0.9160,0.9990,SPEAKER_05
3.095,3.437,Dieter,0.6800,0.9990,SPEAKER_05
3.497,3.799,"Nollen,",0.7830,0.6236,SPEAKER_05
4.282,4.423,que,0.6450,0.9951,SPEAKER_05
4.443,4.504,es,0.6010,1.0000,SPEAKER_05
4.544,4.866,doctor,0.9190,0.9972,SPEAKER_05
4.886,4.946,en,0.7540,0.9999,SPEAKER_05
5.007,5.288,ciencia,0.6730,0.9276,SPEAKER_05
5.369,5.812,política,0.9260,1.0000,SPEAKER_05
5.832,5.872,de,0.4980,0.8406,SPEAKER_05
6.013,6.053,la,0.6880,1.0000,SPEAKER_05
6.114,6.556,Universidad,0.7810,0.9938,SPEAKER_05
6.577,6.637,de,0.7530,0.9864,SPEAKER_05
6.717,7.14,Heidelberg,0.4210,0.9996,SPEAKER_05
7.12,8.406,y,0.7650,0.7227,SPEAKER_05
8.426,8.667,se,0.9800,0.9966,SPEAKER_05
8.928,9.33,desempeña,0.8360,0.9995,SPEAKER_05
9.39,9.49,como,0.7920,1.0000,SPEAKER_05
9.551,9.832,profesor,0.8650,1.0000,SPEAKER_05
9.932,10.314,titular,0.9680,1.0000,SPEAKER_05
10.334,10.595,en,0.4120,1.0000,SPEAKER_05
10.876,10.937,la,0.9940,1.0000,SPEAKER_05
10.977,11.198,misma,0.9380,1.0000,SPEAKER_05
11.258,11.78,universidad,0.8810,0.9999,SPEAKER_05
11.8,11.821,y,0.9910,0.8186,SPEAKER_05
12.182,12.303,es,0.8840,1.0000,SPEAKER_05
13.126,13.428,autor,0.7630,0.9998,SPEAKER_05
13.488,13.588,de,0.9840,1.0000,SPEAKER_05
13.769,13.87,una,0.9130,1.0000,SPEAKER_05
14.03,14.291,serie,0.8880,1.0000,SPEAKER_05
14.352,14.492,de,0.9220,1.0000,SPEAKER_05
15.135,15.738,artículos,0.8400,1.0000,SPEAKER_05
15.858,15.898,y,0.4880,1.0000,SPEAKER_05
15.919,16.28,libros.,0.6510,1.0000,SPEAKER_05
17.38,18.304,En,0.7560,1.0000,SPEAKER_05
18.344,18.445,esta,0.9050,1.0000,SPEAKER_05
18.485,18.867,oportunidad,0.8430,0.9999,SPEAKER_05
19.088,19.168,el,0.9440,0.9385,SPEAKER_05
19.229,19.389,señor,0.8640,0.9999,SPEAKER_05
19.45,19.731,Nollen,0.6830,0.9995,SPEAKER_05
20.012,20.092,va,0.9770,1.0000,SPEAKER_05
20.113,20.133,a,0.9140,1.0000,SPEAKER_05
20.213,20.715,disertar,0.8700,0.9977,SPEAKER_05
20.876,21.238,sobre,0.8570,1.0000,SPEAKER_05
22.383,22.484,el,0.9710,1.0000,SPEAKER_05
22.684,22.926,tema,0.9670,1.0000,SPEAKER_05
23.006,23.167,de,0.8850,1.0000,SPEAKER_05
23.307,23.669,análisis,0.8760,1.0000,SPEAKER_05
23.709,24.473,comparativo,0.9440,0.9999,SPEAKER_05
24.513,24.553,de,0.4940,0.9999,SPEAKER_05
24.694,24.774,los,0.8750,0.9996,SPEAKER_05
24.834,25.276,sistemas,0.8910,0.9998,SPEAKER_05
25.337,26.08,electorales,0.2980,1.0000,SPEAKER_05
26.06,26.951,con,0.7660,0.9425,SPEAKER_05
26.992,27.356,especial,0.8590,1.0000,SPEAKER_05
27.457,28.004,referencia,0.9580,1.0000,SPEAKER_05
28.024,28.632,al,0.9030,1.0000,SPEAKER_05
28.733,28.936,caso,0.8670,0.9999,SPEAKER_05
29.158,29.32,chileno.,0.1290,0.9997,SPEAKER_05
30.0,30.726,El,0.7880,0.8389,SPEAKER_05
30.847,31.008,Centro,0.6470,0.9729,SPEAKER_05
31.028,31.069,de,0.7380,0.9875,SPEAKER_05
31.089,31.371,Estudios,0.7200,0.9997,SPEAKER_05
31.472,31.754,Públicos,0.8860,0.9997,SPEAKER_05
31.794,31.915,desde,0.9520,0.6799,SPEAKER_05
31.935,32.077,hace,0.8010,1.0000,SPEAKER_05
32.137,32.198,un,0.9890,1.0000,SPEAKER_05
32.278,32.621,tiempo,0.8360,1.0000,SPEAKER_05
32.641,32.681,ha,0.4980,0.9934,SPEAKER_05
33.528,33.81,venido,0.9970,1.0000,SPEAKER_05
33.851,34.677,desarrollando,0.7760,1.0000,SPEAKER_05
34.738,34.919,este,0.8320,0.9997,SPEAKER_05
34.939,35.04,"tema,",0.1990,1.0000,SPEAKER_05
35.1,35.362,que,0.4140,0.9999,SPEAKER_05
35.442,35.502,es,0.6140,1.0000,SPEAKER_05
35.543,35.583,de,0.7730,1.0000,SPEAKER_05
35.663,36.126,particular,0.9370,1.0000,SPEAKER_05
