start,end,word,alignment_score,probability,speaker
0.0,0.905,Resultado,0.8590,0.9870,SPEAKER_00
0.985,1.045,de,0.6800,0.9999,SPEAKER_00
1.106,1.166,la,0.9240,1.0000,SPEAKER_00
1.246,1.568,elección,0.9770,0.9997,SPEAKER_00
1.648,2.312,"parlamentaria,",0.9160,0.9999,SPEAKER_00
2.332,2.372,la,0.5000,0.9986,SPEAKER_00
3.256,3.819,gobernante,0.9310,0.9967,SPEAKER_00
3.9,4.181,Unidad,0.9560,0.9185,SPEAKER_00
4.302,4.684,Popular,0.9990,0.9999,SPEAKER_00
5.448,5.83,obtuvo,0.9800,0.9942,SPEAKER_00
5.91,5.99,el,0.9540,1.0000,SPEAKER_00
6.01,6.412,43%,0.8040,0.9997,SPEAKER_00
6.573,7.337,de,0.7840,0.9993,SPEAKER_00
7.478,7.558,los,0.8410,1.0000,SPEAKER_00
7.598,7.92,"votos,",0.9850,1.0000,SPEAKER_00
7.92,8.907,aumentando,0.9370,1.0000,SPEAKER_00
8.927,8.968,en,0.5000,0.9999,SPEAKER_00
9.129,9.23,más,0.7540,1.0000,SPEAKER_00
9.27,9.351,de,0.7300,0.9999,SPEAKER_00
9.371,10.338,7%,0.9200,0.9392,SPEAKER_00
10.459,10.519,la,0.6690,1.0000,SPEAKER_00
10.56,10.942,votación,0.8090,1.0000,SPEAKER_00
10.983,11.386,obtenida,0.9360,1.0000,SPEAKER_00
11.406,11.446,en,0.5000,1.0000,SPEAKER_00
11.627,11.688,la,0.8230,1.0000,SPEAKER_00
11.769,12.111,elección,0.9510,1.0000,SPEAKER_00
12.192,12.816,presidencial,0.9190,1.0000,SPEAKER_00
12.836,12.877,de,0.5000,1.0000,SPEAKER_00
12.897,13.34,1970.,0.7790,1.0000,SPEAKER_00
14.84,15.082,La,0.9400,1.0000,SPEAKER_00
15.142,15.625,opositora,0.9430,0.9998,SPEAKER_00
15.666,16.189,"CODE,",0.9530,1.0000,SPEAKER_00
16.23,17.196,Alianza,0.7970,0.9998,SPEAKER_00
17.236,17.679,Electoral,0.8790,0.9917,SPEAKER_00
17.76,17.841,de,0.5690,0.9999,SPEAKER_00
17.881,17.921,la,0.9940,0.9986,SPEAKER_00
17.982,18.465,Democracia,0.8260,1.0000,SPEAKER_00
18.505,19.109,"Cristiana,",0.9010,1.0000,SPEAKER_00
19.15,19.472,el,0.9260,0.9997,SPEAKER_00
19.532,19.854,Partido,0.8540,0.9997,SPEAKER_00
19.915,20.438,Nacional,0.8720,0.9982,SPEAKER_00
20.458,20.519,y,0.6660,0.9988,SPEAKER_00
20.539,20.7,"otros,",0.2780,1.0000,SPEAKER_00
20.86,21.669,obtuvo,0.9400,0.9998,SPEAKER_00
21.709,22.295,el,0.9600,1.0000,SPEAKER_00
22.315,22.881,55%,0.7610,0.9999,SPEAKER_00
24.054,24.114,de,0.7260,1.0000,SPEAKER_00
24.155,24.216,los,0.7140,0.9999,SPEAKER_00
24.256,24.66,sufragios.,0.5220,1.0000,SPEAKER_00
24.64,26.392,A,0.8050,1.0000,SPEAKER_00
26.412,27.278,cada,0.3020,1.0000,SPEAKER_00
27.298,28.406,minuto,0.2090,0.9997,SPEAKER_00
28.426,28.466,se,0.0000,0.0192,SPEAKER_00
28.486,28.97,agrega,0.3060,0.9792,SPEAKER_00
28.99,29.05,más,0.0830,0.9994,SPEAKER_00
29.07,29.211,público,0.0010,0.9696,SPEAKER_00
29.231,29.251,a,0.0450,0.9998,SPEAKER_00
29.272,29.392,esta,0.2120,0.9986,SPEAKER_00
29.413,29.896,grandiosa,0.1830,0.9995,SPEAKER_00
29.916,30.52,manifestación,0.3280,0.9940,SPEAKER_00
30.5,31.186,con,0.5010,0.9827,UNKNOWN
31.207,31.287,que,0.7560,0.9928,UNKNOWN
31.409,31.55,los,0.1370,0.9999,UNKNOWN
31.57,31.934,sectores,0.7240,0.8721,UNKNOWN
31.954,33.024,democráticos,0.5460,0.9996,UNKNOWN
33.044,33.084,de,0.0000,0.9993,UNKNOWN
33.105,33.206,las,0.2880,0.9981,UNKNOWN
33.226,33.569,comunas,0.2780,0.9997,UNKNOWN
33.589,33.73,del,0.2440,0.8880,UNKNOWN
33.751,34.316,barrio,0.5320,0.9984,UNKNOWN
34.336,34.478,oriente,0.0340,0.9961,UNKNOWN
34.498,34.538,de,0.0070,0.9999,UNKNOWN
34.558,34.599,la,0.0040,0.9638,UNKNOWN
34.619,34.76,capital,0.1380,0.8539,UNKNOWN
34.74,35.79,están,0.3310,0.9933,UNKNOWN
35.871,36.517,celebrando,0.3490,0.9896,UNKNOWN
36.537,36.578,el,0.0420,0.9970,UNKNOWN
36.598,37.123,triunfo,0.3470,0.9980,UNKNOWN
37.143,37.648,obtenido,0.5310,0.9972,UNKNOWN
37.668,37.709,en,0.1220,0.9996,UNKNOWN
37.729,37.789,las,0.0010,0.9997,UNKNOWN
37.81,38.072,urnas,0.5670,0.9931,UNKNOWN
38.153,38.254,en,0.4760,0.9991,UNKNOWN
38.335,38.395,el,0.3940,0.9435,UNKNOWN
38.416,38.739,día,0.5780,0.9317,UNKNOWN
38.759,38.799,de,0.0020,0.9985,UNKNOWN
38.819,38.9,hoy.,0.2470,1.0000,UNKNOWN
39.5,40.325,Se,0.7020,1.0000,UNKNOWN
40.365,40.808,empiezan,0.5530,1.0000,UNKNOWN
40.828,40.868,a,0.6810,1.0000,UNKNOWN
40.929,41.452,formar,0.5730,0.8291,UNKNOWN
41.472,41.572,ya,0.7520,1.0000,UNKNOWN
41.593,41.693,los,0.6920,0.9999,UNKNOWN
