start,end,word,alignment_score,probability,speaker
0.0,0.303,El,0.9000,0.9996,SPEAKER_00
0.363,0.626,blanco,0.8490,0.9972,SPEAKER_00
0.686,0.787,del,0.8410,0.9998,SPEAKER_00
0.848,1.151,ataque,0.7930,0.9999,SPEAKER_00
1.191,1.332,se,0.7020,0.9996,SPEAKER_00
1.393,1.716,centró,0.8520,0.9986,SPEAKER_00
1.756,2.2,entonces,0.7400,0.9961,SPEAKER_00
2.22,2.341,en,0.6680,0.9998,SPEAKER_00
2.382,2.422,la,0.7340,1.0000,SPEAKER_00
2.483,2.947,presencia,0.9870,1.0000,SPEAKER_00
2.987,3.088,de,0.3050,1.0000,SPEAKER_00
3.129,3.189,las,0.7430,0.9998,SPEAKER_00
3.25,3.532,Fuerzas,0.8280,0.9871,SPEAKER_00
3.633,3.997,Armadas,0.8760,0.9999,SPEAKER_00
4.017,4.057,en,0.4860,0.9999,SPEAKER_00
4.118,4.178,el,0.0960,1.0000,SPEAKER_00
4.199,4.38,gobierno.,0.1110,0.8952,SPEAKER_00
5.52,5.742,El,0.6620,1.0000,SPEAKER_00
5.762,6.064,20,0.6620,1.0000,SPEAKER_00
6.104,6.164,de,0.7580,1.0000,SPEAKER_00
6.245,6.446,marzo,0.9820,1.0000,SPEAKER_00
6.527,6.567,de,0.5020,1.0000,SPEAKER_00
6.587,7.252,"1973,",0.8000,0.9997,SPEAKER_00
7.373,7.635,el,0.6230,1.0000,SPEAKER_00
8.017,9.085,comandante,0.8890,0.9782,SPEAKER_00
9.125,9.226,en,0.7760,0.9926,SPEAKER_00
9.286,9.508,jefe,0.8720,0.9992,SPEAKER_00
9.548,9.649,del,0.8280,0.9999,SPEAKER_00
9.709,10.152,"ejército,",0.9550,0.9478,SPEAKER_00
10.192,10.676,general,0.6870,0.5698,SPEAKER_00
10.736,11.159,Carlos,0.7810,1.0000,SPEAKER_00
11.179,11.3,"Prats,",0.1710,0.9943,SPEAKER_00
11.4,12.147,debió,0.9050,0.9999,SPEAKER_00
12.207,12.712,abandonar,0.9110,1.0000,SPEAKER_00
12.732,12.772,el,0.4860,1.0000,SPEAKER_00
12.934,13.317,Ministerio,0.8420,0.9996,SPEAKER_00
13.398,13.499,del,0.7560,0.9999,SPEAKER_00
13.559,13.922,Interior,0.8160,0.9998,SPEAKER_00
14.366,14.508,para,0.9850,0.9995,SPEAKER_00
14.588,14.669,dar,0.8940,1.0000,SPEAKER_00
14.709,15.032,paso,0.8610,1.0000,SPEAKER_00
15.052,15.072,a,0.1750,1.0000,SPEAKER_00
15.173,15.254,un,0.3250,1.0000,SPEAKER_00
15.315,15.738,nuevo,0.5180,1.0000,SPEAKER_00
15.759,15.94,gabinete.,0.1020,0.9991,SPEAKER_00
16.62,17.251,Pero,0.9700,1.0000,SPEAKER_00
17.902,18.004,los,0.9760,0.7795,SPEAKER_00
18.065,18.35,ataques,0.7960,1.0000,SPEAKER_00
18.391,18.96,continuaron.,0.4270,1.0000,SPEAKER_00
19.92,20.061,El,0.4900,1.0000,SPEAKER_00
20.142,20.404,primero,0.9620,0.7369,SPEAKER_00
20.444,20.505,de,0.7560,1.0000,SPEAKER_00
20.565,20.827,"mayo,",0.9350,1.0000,SPEAKER_00
20.847,20.888,en,0.5000,1.0000,SPEAKER_00
21.553,21.593,la,0.9480,1.0000,SPEAKER_00
21.674,21.856,gran,0.9720,0.9989,SPEAKER_00
21.956,22.501,concentración,0.9400,0.9999,SPEAKER_00
22.602,22.944,popular,0.9760,1.0000,SPEAKER_00
23.065,23.166,con,0.9550,1.0000,SPEAKER_00
23.247,23.327,que,0.8400,0.9999,SPEAKER_00
23.388,23.469,se,0.9720,1.0000,SPEAKER_00
23.529,24.013,conmemoró,0.9800,0.9999,SPEAKER_00
24.053,24.094,el,0.4390,1.0000,SPEAKER_00
24.255,24.416,Día,0.9570,0.9987,SPEAKER_00
24.477,24.719,del,0.8400,1.0000,SPEAKER_00
24.739,24.9,"Trabajo,",0.1250,1.0000,SPEAKER_00
25.06,25.917,Salvador,0.9500,0.9995,SPEAKER_00
25.958,26.529,Allende,0.8890,0.9995,SPEAKER_00
26.672,27.12,denunció.,0.9000,0.9997,SPEAKER_00
30.0,30.181,Es,0.3340,0.0052,SPEAKER_01
30.201,30.241,un,0.0430,0.7699,SPEAKER_01
30.261,31.266,peligroso,0.3170,0.8143,SPEAKER_01
31.286,31.306,y,0.0090,0.9935,SPEAKER_01
31.326,32.13,permanente,0.8280,0.9998,SPEAKER_01
32.15,33.416,ataque,0.3340,0.9995,SPEAKER_01
33.456,33.537,que,0.4140,0.9674,SPEAKER_01
33.597,33.637,se,0.3850,0.9989,SPEAKER_01
33.657,33.697,ha,0.0040,0.9990,SPEAKER_01
33.717,34.119,expresado,0.6030,0.9925,SPEAKER_01
36.109,36.169,en,0.8910,0.9954,SPEAKER_01
