start,end,word,alignment_score,probability,speaker
0.0,0.705,A,0.6950,0.9980,SPEAKER_01
0.746,1.391,continuación,0.1310,0.9999,SPEAKER_01
1.411,1.451,se,0.0130,0.9569,SPEAKER_01
1.471,1.632,dará,0.5450,0.9997,SPEAKER_01
1.713,2.297,lectura,0.8510,0.9983,SPEAKER_01
2.318,2.358,al,0.4970,0.9999,SPEAKER_01
2.781,3.083,bando,0.7840,0.9416,SPEAKER_01
3.104,3.386,número,0.5420,0.9986,SPEAKER_01
3.547,3.708,uno,0.9630,0.9507,SPEAKER_01
3.769,3.829,de,0.9360,0.9999,SPEAKER_01
3.869,3.93,la,0.9420,1.0000,SPEAKER_01
4.091,4.373,Junta,0.8300,0.9455,SPEAKER_01
4.414,4.494,de,0.8110,0.9994,SPEAKER_01
4.534,4.978,Gobierno,0.5920,0.9980,SPEAKER_01
4.998,5.28,Militar.,0.1980,0.9993,SPEAKER_01
5.74,6.905,Se,0.4000,0.9256,SPEAKER_01
6.925,7.648,advierte,0.6080,0.9991,SPEAKER_01
7.668,7.688,a,0.0500,1.0000,SPEAKER_01
7.708,7.929,los,0.5880,1.0000,SPEAKER_01
7.949,8.512,ciudadanos,0.5130,1.0000,SPEAKER_01
9.456,9.556,que,0.5390,0.9991,SPEAKER_01
9.616,10.179,cualquier,0.7250,1.0000,SPEAKER_01
10.279,10.58,acto,0.9360,1.0000,SPEAKER_01
10.621,10.701,de,0.6380,1.0000,SPEAKER_01
10.862,11.545,sabotaje,0.6910,0.9999,SPEAKER_01
12.328,12.448,en,0.7400,0.9986,SPEAKER_01
12.689,13.011,todo,0.7720,0.9999,SPEAKER_01
13.212,13.573,tipo,0.8090,1.0000,SPEAKER_01
13.613,13.754,de,0.7300,1.0000,SPEAKER_01
13.774,14.437,actividades,0.8390,1.0000,SPEAKER_01
14.577,15.22,"nacionales,",0.9240,0.9999,SPEAKER_01
15.82,16.222,como,0.2140,1.0000,SPEAKER_01
16.242,16.966,"empresas,",0.8210,0.9937,SPEAKER_01
17.911,18.574,"fábricas,",0.8600,0.9995,SPEAKER_01
19.54,19.881,medios,0.9540,1.0000,SPEAKER_01
19.942,20.002,de,0.9700,1.0000,SPEAKER_01
20.103,20.907,comunicación,0.9420,1.0000,SPEAKER_01
20.927,20.947,o,0.9730,0.9953,SPEAKER_01
20.987,21.932,de,0.8780,1.0000,SPEAKER_01
22.033,22.857,"transporte,",0.8590,1.0000,SPEAKER_01
23.34,23.44,"etc.,",0.1980,0.9310,SPEAKER_01
23.42,24.727,será,0.7680,0.9663,SPEAKER_01
24.768,25.733,sancionado,0.6140,0.9972,SPEAKER_01
25.753,25.834,en,0.5200,0.9992,SPEAKER_01
25.854,25.934,la,0.6560,0.9999,SPEAKER_01
26.015,26.477,forma,0.4970,1.0000,SPEAKER_01
26.498,26.759,más,0.2610,0.9999,SPEAKER_01
26.779,27.342,drástica,0.7140,0.9998,SPEAKER_01
27.363,27.946,"posible,",0.7320,1.0000,SPEAKER_01
