start,end,word,alignment_score,probability,speaker
0.0,1.343,De,0.7330,0.1765,SPEAKER_08
1.443,1.644,salvo,0.6480,0.8290,SPEAKER_08
1.704,1.804,el,0.8290,0.9521,SPEAKER_08
1.864,2.325,Presidente,0.8940,0.8582,SPEAKER_08
2.365,2.445,de,0.0270,0.9997,SPEAKER_08
2.486,2.526,la,0.5920,0.9998,SPEAKER_08
2.546,3.287,"República,",0.8560,0.9991,SPEAKER_08
4.33,4.51,desde,0.8470,0.9999,SPEAKER_08
4.53,4.61,el,0.7010,1.0000,SPEAKER_08
4.67,5.051,Palacio,0.8290,0.9999,SPEAKER_08
5.111,5.151,de,0.9250,0.9995,SPEAKER_08
5.212,5.252,la,0.9780,0.9958,SPEAKER_08
5.312,5.632,"Moneda,",0.9500,0.9997,SPEAKER_08
7.697,8.439,informaciones,0.8980,0.9983,SPEAKER_08
8.679,9.421,confirmadas,0.7610,0.9999,SPEAKER_08
10.523,10.984,señalan,0.8730,0.9863,SPEAKER_08
12.668,12.828,que,0.5160,0.9999,SPEAKER_08
12.909,12.989,un,0.9530,0.9999,SPEAKER_08
13.089,13.59,"sector,",0.9730,1.0000,SPEAKER_08
14.592,14.632,la,0.8230,0.9999,SPEAKER_08
14.693,15.314,"marinería,",0.9050,0.9939,SPEAKER_08
15.354,16.877,habría,0.6450,0.9910,SPEAKER_08
16.958,17.358,aislado,0.7440,0.9999,SPEAKER_08
17.519,18.08,Valparaíso,0.8310,0.9484,SPEAKER_08
21.72,22.722,y,0.7930,0.4074,SPEAKER_08
22.782,22.882,que,0.8420,0.9843,SPEAKER_08
22.922,22.983,la,0.9000,0.9964,SPEAKER_08
23.043,23.263,ciudad,0.5510,0.9842,SPEAKER_08
23.343,23.764,estaría,0.6610,0.9884,SPEAKER_08
23.804,24.426,"ocupada,",0.9160,0.9989,SPEAKER_08
25.869,25.949,lo,0.9120,0.9990,SPEAKER_08
25.989,26.149,cual,0.7860,0.9976,SPEAKER_08
26.209,26.73,significa,0.8600,0.9982,SPEAKER_08
26.77,26.871,un,0.7200,0.9992,SPEAKER_08
26.951,27.752,levantamiento,0.9110,0.9401,SPEAKER_08
27.772,27.812,en,0.4900,0.9966,SPEAKER_08
28.955,30.498,contra,0.8860,0.9979,SPEAKER_08
30.558,30.658,del,0.9440,0.9988,SPEAKER_08
30.698,31.099,"gobierno,",0.8450,0.9092,SPEAKER_08
32.662,32.823,del,0.7730,0.9932,SPEAKER_08
32.883,33.163,gobierno,0.9340,0.9999,SPEAKER_08
33.264,33.885,legítimamente,0.9710,0.9997,SPEAKER_08
33.925,34.687,"constituido,",0.5860,0.9997,SPEAKER_08
36.51,36.57,del,0.2980,0.9970,SPEAKER_08
36.611,36.911,gobierno,0.8400,1.0000,SPEAKER_08
36.951,37.092,que,0.4420,0.9924,SPEAKER_08
37.112,37.292,está,0.5500,0.9991,SPEAKER_08
37.332,37.773,amparado,0.8690,0.9990,SPEAKER_08
38.615,38.735,por,0.8210,0.9993,SPEAKER_08
38.795,38.855,la,0.9940,0.9999,SPEAKER_08
38.935,39.096,ley,0.7710,0.9983,SPEAKER_08
39.116,39.136,y,0.9790,0.9935,SPEAKER_08
40.038,40.098,la,0.9660,0.9992,SPEAKER_08
40.158,40.579,voluntad,0.9610,0.9999,SPEAKER_08
40.639,40.679,de,0.8120,0.9971,SPEAKER_08
40.719,40.799,los,0.7780,0.9982,SPEAKER_08
40.839,41.24,ciudadanos.,0.4990,1.0000,SPEAKER_08
43.0,44.011,En,0.8520,0.9961,SPEAKER_08
44.071,44.233,estas,0.4880,0.9782,SPEAKER_08
